,date,home_team,away_team,home_score,away_score,tournament
617,9/28/1994,Romania,Ukraine,5,0,UEFA Euro qualification
618,9/28/1994,Greece,Iceland,1,6,UEFA Euro qualification
619,10/8/1994,Iceland,England,1,2,UEFA Euro qualification
620,10/9/1994,Russia,Germany,0,1,UEFA Euro qualification
621,10/14/1994,New Zealand,Australia,2,1,OFC Championship
622,10/15/1994,Papua New Guinea,New Zealand,0,2,OFC Championship
623,10/15/1994,Denmark,Sweden,2,0,UEFA Euro qualification
624,10/15/1994,Italy,Norway,1,3,UEFA Euro qualification
625,10/16/1994,Papua New Guinea,Australia,0,7,OFC Championship
626,10/18/1994,Australia,New Zealand,1,0,OFC Championship
627,10/19/1994,Papua New Guinea,Australia,0,4,OFC Championship
628,10/20/1994,Papua New Guinea,New Zealand,0,6,OFC Championship
629,10/27/1994,Germany,Russia,4,0,UEFA Euro qualification
630,10/29/1994,Norway,Italy,4,2,UEFA Euro qualification
631,10/29/1994,Sweden,Denmark,3,0,UEFA Euro qualification
632,10/30/1994,England,Iceland,2,1,UEFA Euro qualification
633,11/5/1994,South Africa,Zambia,5,3,African Championship
634,11/6/1994,Nigeria,Sierra Leone,9,0,African Championship
635,11/20/1994,Sierra Leone,Nigeria,0,2,African Championship
636,11/20/1994,Zambia,South Africa,2,6,African Championship
637,12/11/1994,England,Germany,1,4,UEFA Euro
638,1/7/1995,South Africa,Angola,3,1,African Championship
639,1/8/1995,Brazil,Ecuador,13,0,Copa América
640,1/8/1995,Chile,Bolivia,11,0,Copa América
641,1/9/1995,Ghana,Nigeria,0,3,African Championship
642,1/10/1995,Brazil,Chile,6,1,Copa América
643,1/10/1995,Argentina,Ecuador,5,1,Copa América
644,1/12/1995,Argentina,Bolivia,12,0,Copa América
645,1/12/1995,Chile,Ecuador,2,2,Copa América
646,1/14/1995,Brazil,Argentina,8,0,Copa América
647,1/14/1995,Ecuador,Bolivia,6,1,Copa América
648,1/18/1995,Brazil,Bolivia,15,0,Copa América
649,1/18/1995,Argentina,Chile,1,0,Copa América
650,1/21/1995,Angola,South Africa,3,3,African Championship
651,1/22/1995,Brazil,Argentina,2,0,Copa América
652,1/23/1995,Nigeria,Ghana,2,0,African Championship
653,2/23/1995,Germany,England,2,1,UEFA Euro
654,2/26/1995,Norway,Sweden,4,3,UEFA Euro
655,3/4/1995,Nigeria,South Africa,4,1,African Championship
656,3/4/1995,Sweden,Norway,4,1,UEFA Euro
657,3/14/1995,Sweden,Italy,4,0,Algarve Cup
658,3/14/1995,Norway,Netherlands,0,1,Algarve Cup
659,3/14/1995,Portugal,Denmark,0,5,Algarve Cup
660,3/14/1995,United States,Finland,2,0,Algarve Cup
661,3/16/1995,Norway,Italy,3,1,Algarve Cup
